Department,Department Abbreviation,Body/Agency,Agency Abbreviation,Name of service,April 2011 to March 2012: volume,April 2011 to March 2012: digital volume,April 2011 to March 2012: cost per transaction (£),January 2012 to December 2012: volume,January 2012 to December 2012: digital volume,January 2012 to December 2012: cost per transaction (£),April 2012 to March 2013: volume,April 2012 to March 2013: digital volume,April 2012 to March 2013: cost per transaction (£),July 2012 to June 2013: volume,July 2012 to June 2013: digital volume,July 2012 to June 2013: cost per transaction (£),October 2012 to September 2013: volume,October 2012 to September 2013: digital volume,October 2012 to September 2013: cost per transaction (£),January 2013 to December 2013: volume,January 2013 to December 2013: digital volume,January 2013 to December 2013: cost per transaction (£),Latest volume,Latest digital volume,Latest cost per transaction (£),Service Type,URL,Description of service,Notes on costs,Other notes,Customer type,Business model
Department for Work and Pensions,DWP,Department for Work and Pensions,DWP,Social Fund grants and loans,5010000,0,55.00,4830000,0,55.00,4740000,0,50.00,4020000,0,50.00,3260000,0,49.00,2600000,0,49.00,2600000,0,49.00,"Requesting benefits, payments or loans",https://www.gov.uk/budgeting-loans,The Social Fund supplies a range of grants and loans to people in special need of financial help.,"Grants and loans can involve several interactions with both the applicant and third parties. The costs are for the financial year 2012 to 2013 and represent the total cost for all aspects of processing an application from end to end. <br>Processes include validating identity and eligibility, compliance checks, the investigation of potential fraud and error, and appeals against decisions made. It also includes the making of payments and any queries about non-receipt<br>The costs of these various interactions are aggregated and averaged to give a cost per application and this is presented on a fully absorbed basis but excluding investment (change) costs. The Department for Work and Pensions is introducing changes to improve the accuracy of  IT cost apportionment.","Covers applications processed for Crisis Loans, Budgeting Loans, Community Care, Funeral and Maternity Grants, whether successful or not.<br> Note: Crisis loans and Community Care grants are no longer available in England, Scotland or Wales. ",Individuals,Taxpayers
Department for Work and Pensions,DWP,Department for Work and Pensions,DWP,State Pension: existing claims,11420000,0,13.00,11530000,0,13.00,11560000,0,12.00,11580000,0,12.00,11590000,0,11.00,11660000,0,11.00,11660000,0,11.00,"Requesting benefits, payments or loans",https://www.gov.uk/state-pension/how-to-claim,"The basic State Pension is a regular payment for people resident in the UK who reach State Pension age, and is based on National Insurance (NI) contributions.","Maintaining claims involves many interactions with people drawing State Pension in the UK across the duration of their claim. It includes contacts about changes of circumstances or compliance checks that could affect eligibility, the investigation of potential fraud and error, and dealing with any appeals against decisions made. It also includes the making of payments and queries about non-receipt.<br>The costs are for the financial year 2012 to 2013 and represent the total cost for all aspects of maintaining an application after the point that payments commence including those of terminating the claim.<br>The costs of these various interactions are aggregated and averaged to give a cost per claim maintained and this is presented on a fully absorbed basis but excluding investment (change) costs.",The number of transactions given is the annual average of the number of claims by UK residents.<br>This data covers the maintaining of existing claims for UK residents after initial eligibility and amount due have been established.,Individuals,Taxpayers
Department for Work and Pensions,DWP,Department for Work and Pensions,DWP,State Pension: existing overseas claims,1210000,0,11.00,1220000,0,11.00,1230000,0,10.00,1230000,0,10.00,1230000,0,10.00,1240000,0,10.00,1240000,0,10.00,"Requesting benefits, payments or loans",https://www.gov.uk/state-pension-if-you-retire-abroad,Overseas State Pension (IPC SP) is a regular payment for people who reach State Pension age and are resident overseas. It is based on National Insurance (NI) contributions.,"Costs cover interactions with people drawing State Pension overseas across the duration of their claim.  It includes contacts about changes of circumstances or compliance checks that could affect eligibility, the investigation of potential fraud and error, and dealing with appeals against decisions made. It also includes the making of payments and handling queries about non-receipt.<br>The costs are for the financial year 2012 to 2013 and represent the total cost for all aspects of maintaining an application after the point that payments commence including those of terminating the claim. The cost of the job search aspect of fortnightly signing is excluded and is covered under 'Jobsearch reviews'.<br>The costs of these various interactions are aggregated and averaged to give a cost per claim maintained and this is presented on a fully absorbed basis but excluding investment (change) costs.",The number of transactions given is the annual average of the number of claims by UK nationals resident overseas that have been maintained.<br>The data covers the maintenance of existing claims after the initial eligibility and amount due have been established.,Individuals,Taxpayers
Department for Work and Pensions,DWP,Department for Work and Pensions,DWP,State Pension: new claims,615000,8857,,600000,37373,,570000,60202,,550000,77490,,540000,82641,,540000,83470,,540000,83470,,"Requesting benefits, payments or loans",https://www.gov.uk/claim-state-pension-online,,,,Individuals,Taxpayers
Department for Work and Pensions,DWP,Department for Work and Pensions,DWP,Universal Jobmatch: CV uploads,,,,,,,2420000,2420000,,3860000,3860000,,5210000,5210000,,5640000,5640000,,5640000,5640000,,Providing information,https://www.gov.uk/jobsearch,"Jobseekers can use Universal Jobmatch to create an account, upload CVs and search for full or part-time jobs in Great Britain and abroad.<br>The service has operated since November 2012.","This process is part of Jobsearch Advice service and all the costs are already included in the unit cost of Adviser Interventions (jobsearch advice) 
The costs for 2012 to 2013 included the costs of its predecessors, Employer Direct, National Email Team, Jobseeker Direct Online.","The number of transactions relates to the number of CVs uploaded to the Universal Jobmatch service by jobseekers holding an account. (Note: only five CVs can be stored at any one time in a jobseeker's account, but these can be overwritten any number of times.)<br>This type of internal management information does not form part of the official statistics outputs that are released by the Department in accordance with the UK Statistics Authority’s Code of Practice. ",Individuals,Taxpayers
Department for Work and Pensions,DWP,Department for Work and Pensions,DWP,Universal Jobmatch: jobseeker accounts created,,,,,,,2440000,2440000,,3710000,3710000,,4810000,4810000,,4760000,4760000,,4760000,4760000,,Registering,https://www.gov.uk/jobsearch,"Jobseekers can use Universal Jobmatch to create an account, upload CVs and search for full or part-time jobs in Great Britain and abroad. <br>The service has operated since November 2012.","This process is part of Jobsearch Advice service and all the costs are already included in the unit cost of Adviser Interventions (jobsearch advice) 
The costs for 2012 to 2013 included the costs of its predecessors, Employer Direct, National Email Team, Jobseeker Direct Online.","The volumes cover the number of new accounts created by jobseekers on the Universal Jobmatch (UJ) service. These are accounts jobseekers have created for themselves on the UJ service which will enable them to save preferred job search criteria, receive automated notifications of job vacancies matching their criteria, upload and store CVs, and enable their details to be searchable by DWP staff and employers.<br>This type of internal management information does not form part of the official statistics outputs that are released by the Department in accordance with the UK Statistics Authority’s Code of Practice.",Individuals,Taxpayers
Department for Work and Pensions,DWP,Department for Work and Pensions,DWP,Universal Jobmatch: vacancies placed by employers,,,,,,,1350000,1180000,,2700000,2370000,,4490000,4040000,,6080000,5690000,,6080000,5690000,,Providing information,http://jobvacancies.businesslink.gov.uk/IndexDwp.aspx,"Employers can use Universal Jobmatch to create an account, advertise jobs online and automatically match them to suitable jobseekers. <br>The service was introduced in November 2012.","This process is part of Jobsearch Advice service and all the costs are already included in the unit cost of Adviser Interventions (jobsearch advice) 
The costs for 2012 to 2013 included the costs of its predecessors, Employer Direct, National Email Team, Jobseeker Direct Online.",The number of transactions given covers the number of job vacancies entered onto the Universal Jobmatch service by employers. A vacancy relates to a job role and there may be one or more 'openings' related to a vacancy. <br>The total volume includes vacancies notified to UJ's predecessor services which were then entered onto the new service. This type of internal management information does not form part of the official statistics outputs that are released by the Department in accordance with the UK Statistics Authority’s Code of Practice.,Business,
Department for Work and Pensions,DWP,Department for Work and Pensions,DWP,Widowed Parent's Allowance/ Bereavement Allowance: existing claims,38000,0,,39000,,,39000,,,39000,0,,39000,0,,39000,0,,39000,0,,"Requesting benefits, payments or loans",https://www.gov.uk/widowed-parents-allowance,,,This type of internal management information does not form part of the official statistics outputs that are released by the Department in accordance with the UK Statistics Authority’s Code of Practice.<br>The number of transactions given is the annual average of the number of claims maintained.,Individuals,Taxpayers
Department for Work and Pensions,DWP,Health and Safety Executive,HSE,"Application for a licence to import acetylene, or amendment to an existing licence",3,,,,,,,,,0,,,0,,,,,,0,,,Requesting a licence or consent,,,,,Business,Taxpayers
Department for Work and Pensions,DWP,Health and Safety Executive,HSE,Application for classification of explosives,350,,,,,,,,,83,,,126,,,,,,126,,,Requesting information,http://www.hse.gov.uk/explosives/classification/index.htm,,,,Business,Taxpayers
Department for Work and Pensions,DWP,Health and Safety Executive,HSE,Application for registration/storage licence under the Manufacture and Storage of Explosives Regulations,20,,,,,,,,,26,,,10,,,,,,10,,,Requesting a licence or consent,,,,,Business,Taxpayers
Department for Work and Pensions,DWP,Health and Safety Executive,HSE,Application process under the Control of Pesticides Regulations (COPR),,,,298,,,,,,261,,,248,,,,,,248,,,Requesting a licence or consent,,,,,Business,Taxpayers
Department for Work and Pensions,DWP,Health and Safety Executive,HSE,Apply for explosives licence,60,,,,,,,,,46,,,46,,,,,,46,,,Requesting a licence or consent,http://www.hse.gov.uk/explosives/licensing/index.htm,,,,Business,
Department for Work and Pensions,DWP,Health and Safety Executive,HSE,Change of major accident hazard (MAH) Pipeline Operator (PSR Reg 22 (1)),8,,,2,,,,,,1,,,1,,,,,,1,,,Providing information,,,,,Business,Taxpayers
Department for Work and Pensions,DWP,Health and Safety Executive,HSE,LGSR1 - Notification of the non issue of a Landlord Gas Safety Record,1041,,,1667,,,,,,1311,,,,,,,,,1311,,,Providing information,,,,,Business,
Department for Work and Pensions,DWP,Health and Safety Executive,HSE,Notification of construction project (F10),,,,73208,,,,,,76909,,,79175,,,,,,79175,,,Providing information,,,,,Business,Taxpayers
Department for Work and Pensions,DWP,Health and Safety Executive,HSE,Notification of intention to carry out site radiography (IRR3),,,,3797,,,,,,5018,,,5666,,,,,,5666,,,Providing information,,,,,Business,Taxpayers
Department for Work and Pensions,DWP,Health and Safety Executive,HSE,Notification of ionising radiation activities (IRR6),,,,1990,,,,,,1735,,,1611,,,,,,1611,,,Providing information,,,,,Business,Taxpayers
Department for Work and Pensions,DWP,Health and Safety Executive,HSE,Notification of use and consignment of biological agents (CBA1),44,,,52,,,,,,59,,,55,,,,,,55,,,Providing information,,,,,Business,Taxpayers
Department for Work and Pensions,DWP,Health and Safety Executive,HSE,Notifications relating to intention to use premises for genetic modification (CU1 and CU2),181,,,204,,,,,,185,,,175,,,,,,175,,,Providing information,,,,,Business,
Department for Work and Pensions,DWP,Health and Safety Executive,HSE,Pipeline Safety Regulations: notification (PIPE1),15,,,,,,,,,0,,,0,,,,,,0,,,Providing information,,,,,Business,Taxpayers
Department for Work and Pensions,DWP,Health and Safety Executive,HSE,Pipeline Safety Regulations: Notification before construction (PSR Reg 20),29,,,33,,,,,,3,,,3,,,,,,3,,,Providing information,,,,,Business,
Department for Work and Pensions,DWP,Health and Safety Executive,HSE,Pipeline Safety Regulations: Notification before use (PSR Reg 21),22,,,25,,,,,,7,,,4,,,,,,4,,,Providing information,,,,,Business,Taxpayers
Department for Work and Pensions,DWP,Health and Safety Executive,HSE,Pipeline Safety Regulations: Notification in other cases (PSR Reg 22 (2)),21,,,54,,,,,,39,,,20,,,,,,20,,,Providing information,,,,,Business,Taxpayers
Department for Work and Pensions,DWP,Health and Safety Executive,HSE,Provision of an Assessment Report  (REPPIR1),15,,,,,,,,,0,,,,,,,,,0,,,Providing information,,,,,Business,Taxpayers
Department for Work and Pensions,DWP,Health and Safety Executive,HSE,"RIDDOR (Reporting of Injuries, Diseases and Dangerous Occurrences Regulations 1995)",150000,,,148000,,,,,,131451,,,129684,,,,,,129684,,,Providing information,http://www.hse.gov.uk/riddor/,,,,Business,Taxpayers
Foreign and Commonwealth Office,FCO,Foreign and Commonwealth Office,FCO,Academic Technology Approval Scheme (ATAS) applications,15364,,,17000,17000,,16891,,,18184,,,18333,,,18545,,,18545,,,Providing information,https://www.gov.uk/academic-technology-approval-scheme,,,,Business,Taxpayers
Foreign and Commonwealth Office,FCO,Foreign and Commonwealth Office,FCO,"Additions and corrections to the consular register of births, deaths, marriages or civil partnerships",,,,,,,,,,70,,,53,,,45,,,45,,,Amending/deleting information,,,,,Individuals,Taxpayers
Foreign and Commonwealth Office,FCO,Foreign and Commonwealth Office,FCO,Births abroad: registrations,,,,,,,5339,,,5530,,,5671,,,5757,,,5757,,,Registering,https://www.gov.uk/register-a-birth,Registering a birth abroad with the UK authorities.,,,Individuals,Taxpayers
Foreign and Commonwealth Office,FCO,Foreign and Commonwealth Office,FCO,"British passports abroad: applications, renewals and replacements",,,,,,,345026,,,340349,,,320390,,,,,,320390,,,Requesting a licence or consent,https://www.gov.uk/overseas-passports,,,,Individuals,
Foreign and Commonwealth Office,FCO,Foreign and Commonwealth Office,FCO,Certificates of no impediment or certificat de coutume,,,,,,,,,,13825,,,12958,,,12354,,,12354,,,Requesting a licence or consent,,,,,Individuals,Taxpayers
Foreign and Commonwealth Office,FCO,Foreign and Commonwealth Office,FCO,"Certified copies of entry of register of births, deaths, marriages or civil partnerships",,,,,,,,,,5693,,,5829,,,6013,,,6013,,,Requesting a licence or consent,,,,,Individuals,Taxpayers
Foreign and Commonwealth Office,FCO,Foreign and Commonwealth Office,FCO,Chevening scholarship applications,26000,25000,,21000,21000,,20842,,,20928,,,22140,,,29512,,,29512,,,"Requesting benefits, payments or loans",http://www.chevening.org/apply/,,,,Individuals,Taxpayers
Foreign and Commonwealth Office,FCO,Foreign and Commonwealth Office,FCO,Deaths abroad: registrations,,,,,,,236,,,238,,,246,,,283,,,283,,,Registering,https://www.gov.uk/register-a-death,,,,Individuals,Taxpayers
Foreign and Commonwealth Office,FCO,Foreign and Commonwealth Office,FCO,Deposit foreign marriage or civil partnership certificates,,,,,,,,,,1002,,,680,,,422,,,422,,,,,,,,,
Foreign and Commonwealth Office,FCO,Foreign and Commonwealth Office,FCO,Emergency passport applications,,,,,,,,,,1006,,,1002,,,1013,,,1013,,,Requesting a licence or consent,,An emergency passport can be requested in exceptional circumstances when it is not possible to provide an emergency travel document.,,,,
Foreign and Commonwealth Office,FCO,Foreign and Commonwealth Office,FCO,Emergency travel document applications,,,,,,,,,,28076,,,28636,,,27425,,,27425,,,Requesting a licence or consent,https://www.gov.uk/emergency-travel-document,An emergency travel document lets you leave another country if you can’t get a new or replacement British passport in time to travel.,,,,
Foreign and Commonwealth Office,FCO,Foreign and Commonwealth Office,FCO,Forwarding record of marriage or civil partnership to Registrar General,,,,,,,,,,0,,,313,,,531,,,531,,,,,,,,Individuals,Taxpayers
Foreign and Commonwealth Office,FCO,Foreign and Commonwealth Office,FCO,Legalisation and Apostille certificate applications,90406,,,98705,,,128240,,,418685,,,428859,,,,,,428859,,,Requesting a licence or consent,https://www.gov.uk/get-document-legalised,,,,Individuals,Taxpayers
Foreign and Commonwealth Office,FCO,Foreign and Commonwealth Office,FCO,Online requests for appointments at consular offices,,,,,,,,,,12278,12278,,17074,17074,,18078,18078,,18078,18078,,Booking events and resources,http://ukinusa.fco.gov.uk/en/about-us/other-locations/houston/helpfor-british-nationals/010-orlando-appointments1,,,Figures are for digital service only,Individuals,Taxpayers
Foreign and Commonwealth Office,FCO,Foreign and Commonwealth Office,FCO,"Receiving notice of intended marriage, civil partnership, overseas relationship",,,,,,,,,,4133,,,3940,,,3574,,,3574,,,Providing information,,,,,Individuals,Taxpayers
Foreign and Commonwealth Office,FCO,Foreign and Commonwealth Office,FCO,Solemnising or attending a marriage,,,,,,,,,,95,,,108,,,111,,,111,,,Requesting a licence or consent,,,,,Individuals,Taxpayers
HM Revenue and Customs,HMRC,HM Revenue and Customs,HMRC,Alcohol and Tobacco Warehousing Declarations,,,,,,,,,,,,,171515,,,179603,,,179603,,,Providing information,,,,The data covers alcohol & tobacco warehousing declarations. These are approvals and warrants which have been submitted through a number of services either via the paper or online channels. These do not include payment transactions.,Business,Taxpayers
HM Revenue and Customs,HMRC,HM Revenue and Customs,HMRC,"Charities: applications, change of details and gift aid",372252,0,,,,,169495,0,,337351,0,,349098,,,366984,,,366984,,,Requesting a licence or consent,,,,,Business,Taxpayers
HM Revenue and Customs,HMRC,HM Revenue and Customs,HMRC,Child Benefit transactions,5881026,0,6.20,,,,5315183,0,5.20,5388573,0,5.20,5371286,0,5.21,5242189,,6.16,5242189,,6.16,"Requesting benefits, payments or loans",https://www.gov.uk/child-benefit/overview,Child Benefit is a payment made to parents/guardians to help with the cost of raising a child. It is usually paid every four weeks but can sometimes be paid weekly. There are separate rates payable for each child.,"1.Transaction and cost numbers have been collected using current year outturn data. Variations from baseline 2011 to 2012 costs have been driven by changing volumes, investment and efficiencies already in train. <br>2. Unit cost data has been constructed using paybill data, with a 23% uplift for overheads. HMRC's costing framework is in development, and changes are in train to improve the accuracy of estates and IT cost apportionment. <br>3. Assumptions have been made about the balance of cost for transactional and enforcement/ other activity where business units mix both. <br>4. Additional IT investment to maintain the digital service may alter the cost balance, with additional depreciation charges increasing online cost.","The volume of transactions includes initial claims and changes to circumstances, but not individual payments.",Individuals,Taxpayers
HM Revenue and Customs,HMRC,HM Revenue and Customs,HMRC,Construction Industry Scheme transactions,3807258,2340222,1.42,,,,3550332,2480380,1.29,3649617,2615235,1.18,3669166,2706460,1.06,3702687,2787672,0.97,3702687,2787672,0.97,Providing information,http://www.hmrc.gov.uk/cis/,"Construction Industry Scheme (CIS) sets out the rules for how payments to subcontractors for construction work must be handled by contractors in the construction industry. The volume of transactions includes form submissions, amended submissions and registrations.","1.Transaction and cost numbers have been collected using current year outturn data. Variations from baseline 2011 to 2012 costs have been driven by changing volumes, investment and efficiencies already in train. <br>2. Unit cost data has been constructed using paybill data, with a 23% uplift for overheads. HMRC's costing framework is in development, and changes are in train to improve the accuracy of estates and IT cost apportionment. <br>3. Assumptions have been made about the balance of cost for transactional and enforcement/ other activity where business units mix both. <br>4. Additional IT investment to maintain the digital service may alter the cost balance, with additional depreciation charges increasing online cost.",,Business,Taxpayers
HM Revenue and Customs,HMRC,HM Revenue and Customs,HMRC,Corporation Tax transactions,17950000,5250000,1.18,,,,17461000,5140000,0.95,16778826,5186435,0.94,17167894,5379437,0.92,17672289,5609074,0.92,17672289,5609074,0.92,Providing information,http://www.hmrc.gov.uk/ct/index.htm,Corporation Tax (CT) is a tax levied in the United Kingdom on the profits made by companies and on the profits of permanent establishments of non-UK resident companies and associations that trade in the EU.,"The cost of these transactions will include all the back office activity undertaken to deal with work arising from the contacts. It excludes the cost of compliance and enforcement activity. <br>1.Transaction and cost numbers have been collected using current year outturn data. Variations from baseline 2011 to 2012 costs have been driven by changing volumes, investment and efficiencies already in train. <br>2. Unit cost data has been constructed using paybill data, with a 23% uplift for overheads. HMRC's costing framework is in development, and changes are in train to improve the accuracy of estates and IT cost apportionment. <br>3. Assumptions have been made about the balance of cost for transactional and enforcement/ other activity where business units mix both. <br>4. Additional IT investment to maintain the digital service may alter the cost balance, with additional depreciation charges increasing online cost.

","The transaction is defined as each customer contact, both incoming and outgoing (counted individually), within a process. This is counted by the channel used to make that contact. Estimates from samples are used where a physical count is not available. ",Business,Taxpayers
HM Revenue and Customs,HMRC,HM Revenue and Customs,HMRC,Customs transactions,97703808,96191696,0.18,,,,98634777,98341502,0.15,110564019,110370173,0.12,115608470,115427901,0.12,121196315,121021373,0.12,121196315,121021373,0.12,Providing information,,"The data relates to customs transactions which have been submitted through a number of services, including: Customs Handling of Import Export Freight (CHIEF), Import Control System (ICS), National Export System (NES), National Transit, and Excise Movement Control Service (EMCS).","1.Transaction and cost numbers have been collected using current year outturn data. Variations from baseline 2011 to 2012 costs have been driven by changing volumes, investment and efficiencies already in train. <br>2. Unit cost data has been constructed using paybill data, with a 23% uplift for overheads. HMRC's costing framework is in development, and changes are in train to improve the accuracy of estates and IT cost apportionment. <br>3. Assumptions have been made about the balance of cost for transactional and enforcement/ other activity where business units mix both. <br>4. Additional IT investment to maintain the digital service may alter the cost balance, with additional depreciation charges increasing online cost.","The transaction is defined as each customer contact, both in-coming and out-going (counted individually), within a process.  This is counted by the channel used to make that contact.  We are using an estimate from a sample where a physical count is not available.  The cost of these transactions will include all the back office activity undertaken to deal with work arising from the contacts.  It excludes the cost of compliance and enforcement activity. Transactions include declarations and telephone contacts.",Business,Taxpayers
HM Revenue and Customs,HMRC,HM Revenue and Customs,HMRC,Debt collection transactions,8829844,0,,,,,9131250,0,,9074693,0,,8683035,0,,9111764,,,9111764,,,,,"Debt Management involves the collection of outstanding amounts of unpaid taxes, overpayment of benefits and other debts and is carried out by post, telephone or face to face. Debt Management requires a high degree of personal intervention.",,,Business,Taxpayers
HM Revenue and Customs,HMRC,HM Revenue and Customs,HMRC,Duty Deferment Electronic Statements,1008,1008,,,,,,,,,,,,,,1131,,,1131,,,Requesting information,,Electronic payments (excluding direct debit) for deferred import duties paid by traders.,,,Business,Taxpayers
HM Revenue and Customs,HMRC,HM Revenue and Customs,HMRC,Duty Stamps,960,960,,,,,,,,,,,,,,,,,960,960,,Registering,,,,,Business,Taxpayers
HM Revenue and Customs,HMRC,HM Revenue and Customs,HMRC,Excise Movement Control Service transactions,,,,,,,,,,,,,657783,657783,0.10,980227,980227,0.10,980227,980227,0.10,,http://www.hmrc.gov.uk/emcs/,The Excise Movement and Control System (EMCS) processes the movements of taxable goods that are duty free in the European Union.,,"The data covers online transactions for amendments or movements of goods, and confirmation of receipt of goods. Payment transactions are excluded.",,
HM Revenue and Customs,HMRC,HM Revenue and Customs,HMRC,HMRC agent authorisations,1788457,411188,6.49,,,,2053966,473283,6.49,2057690,535525,5.57,2041195,547828,4.82,2089874,570389,4.20,2089874,570389,4.20,Requesting a licence or consent,http://www.hmrc.gov.uk/agents/authorisation/,"Agent Authorisation is a system used by tax agents, advisers or accountants for authority to deal with HMRC on behalf of an individual or a business. Transactions include registrations, licence requests and authorisations.","1.Transaction and cost numbers have been collected using current year outturn data. Variations from baseline 2011 to 2012 costs have been driven by changing volumes, investment and efficiencies already in train. <br>2. Unit cost data has been constructed using paybill data, with a 23% uplift for overheads. HMRC's costing framework is in development, and changes are in train to improve the accuracy of estates and IT cost apportionment. <br>3. Assumptions have been made about the balance of cost for transactional and enforcement/ other activity where business units mix both. <br>4. Additional IT investment to facilitate digital may alter the cost balance, with additional depreciation charges increasing online cost.",,Business,Taxpayers
HM Revenue and Customs,HMRC,HM Revenue and Customs,HMRC,HMRC transactions handled by email (KANA),1650291,1650291,0.10,,,,2144906,2144906,0.10,2188951,2188951,0.10,2376025,2376025,0.10,2479335,2479335,0.10,2479335,2479335,0.10,,,"KANA is a software product used to process external emails from customers on a variety of subjects. In future data releases, transactions completed through KANA will be reallocated to the relevant services.","1.Transaction and cost numbers have been collected using current year outturn data. Variations from baseline 2011 to 2012 costs have been driven by changing volumes, investment and efficiencies already in train. <br>2. Unit cost data has been constructed using paybill data, with a 23% uplift for overheads. HMRC's costing framework is in development, and changes are in train to improve the accuracy of estates and IT cost apportionment. <br>3. Assumptions have been made about the balance of cost for transactional and enforcement/ other activity where business units mix both. <br>4. Additional IT investment to facilitate digital may alter the cost balance, with additional depreciation charges increasing online cost.",,Business,Taxpayers
HM Revenue and Customs,HMRC,HM Revenue and Customs,HMRC,Inheritance Tax transactions,569874,0,,,,,632693,0,,623188,,,621078,,,626116,,,626116,,,Requesting information,https://www.gov.uk/inheritance-tax,,,,Business,Taxpayers
HM Revenue and Customs,HMRC,HM Revenue and Customs,HMRC,Machine Games Duty,,,,,,,,,,,,,51799,,,79616,,,79616,,,,http://www.hmrc.gov.uk/machinegamesduty/machine-games-duty.htm,,,The data covers Machine Games Duty registrations and returns which have been submitted through paper or online channels. Payment transactions are excluded.,,
HM Revenue and Customs,HMRC,HM Revenue and Customs,HMRC,Money Laundering Regulations (MLR-8): annual declaration,,,,,,,,,,,,,22376,,,20847,,,20847,,,Providing information,,Money laundering means exchanging money or assets that were obtained criminally for money or other assets that are ‘clean’. The Money Laundering Regulations came into force in December 2007. All businesses that are covered by the regulations and who are supervised by HMRC must put in place suitable anti money laundering controls.,,"Money Laundering transactions include new registrations, F&P transactions, renewals by cheque, de-registrations and change of circumstances. ",Business,Taxpayers
HM Revenue and Customs,HMRC,HM Revenue and Customs,HMRC,National Insurance transactions,7820098,0,6.47,,,,9082042,0,5.21,9131195,0,5.19,9060458,0,5.19,8389503,,5.16,8389503,,5.16,Providing information,https://www.gov.uk/national-insurance/overview,"National Insurance is a system underpinned by a ‘contributory principle’ to collect and maintain contributions paid by individuals towards the entitlement of certain state benefits, including retirement pension. A proportion of NI contributions also helps fund the National Health Service.","1.Transaction and cost numbers have been collected using current year outturn data. Variations from baseline 2011 to 12 costs have been driven by changing volumes, investment and efficiencies already in train. <br>2. Unit cost data has been constructed using paybill data, with a 23% uplift for overheads. HMRC's costing framework is in development and 2011-12 data have been updated with a more accurate reflection of volumes and costs. Changes are in train to improve the accuracy of estates and IT cost apportionment. <br>3. Assumptions have been made about the balance of cost for transactional and enforcement/ other activity where business units mix both. <br>4. Additional IT investment to facilitate digital may alter the cost balance, with additional depreciation charges increasing online cost.",,Business,Taxpayers
HM Revenue and Customs,HMRC,HM Revenue and Customs,HMRC,PAYE transactions,94058239,70935752,3.03,,,,99439596,77372911,2.79,129724001,116807130,2.07,212842232,210512007,1.24,303955956,283979306,0.88,303955956,283979306,0.88,Providing information,http://www.hmrc.gov.uk/payerti/index.htm,"Pay As You Earn (PAYE) including EDI is the amount of income tax collected by employers on behalf of the government from employees. Transactions include form submissions, amended submissions and registrations. PAYE is used to collect NI contributions and Student Loans as well as income tax.","1.Transaction and cost numbers have been collected using current year outturn data. Variations from baseline 2011 to 12 costs have been driven by changing volumes, investment and efficiencies already in train. <br>2. Unit cost data has been constructed using paybill data, with a 23% uplift for overheads. HMRC's costing framework is in development, and changes are in train to improve the accuracy of estates and IT cost apportionment. <br>3. Assumptions have been made about the balance of cost for transactional and enforcement/ other activity where business units mix both. <br>4. Additional IT investment to facilitate digital may alter the cost balance, with additional depreciation charges increasing online cost.","1. HMRC is introducing PAYE Online, a new service to help individuals to manage their tax affairs and to deal with more complex areas such as tax codes and employer benefits. <br>2. The number of PAYE transactions increased significantly following the introduction of Real Time Information (RTI) in April 2013. When reporting in real time, employers send PAYE information electronically each time they pay their employees as part of routine payroll processes, rather than sending a separate return at the end of the year. The returns include details of their employees’ pay, tax and deductions. Reporting PAYE information in real time will improve PAYE making it quicker, easier and more accurate. ",Business,Taxpayers
HM Revenue and Customs,HMRC,HM Revenue and Customs,HMRC,Payments made by HMRC,182042037,171687532,0.11,,,,178794607,169010793,0.11,175458358,166307172,0.11,173639636,165520629,0.11,170974432,162552360,0.11,170974432,162552360,0.11,Making a payment,,The service covers payments to customers either electronically or by post from HMRC.,"1.Transaction and cost numbers have been collected using current year outturn data. Variations from baseline 2011 to 12 costs have been driven by changing volumes, investment and efficiencies already in train. <br>2. Unit cost data has been constructed using paybill data, with a 23% uplift for overheads. HMRC's costing framework is in development, and changes are in train to improve the accuracy of estates and IT cost apportionment. <br>3. Assumptions have been made about the balance of cost for transactional and enforcement/ other activity where business units mix both. <br>4. Additional IT investment to facilitate digital may alter the cost balance, with additional depreciation charges increasing online cost.",,Business,Taxpayers
HM Revenue and Customs,HMRC,HM Revenue and Customs,HMRC,Payments received by HMRC,59794371,51323504,0.27,,,,59589398,53148589,0.23,56327309,50161837,0.23,53289209,47334729,0.23,54021358,48564447,0.22,54021358,48564447,0.22,Making a payment,,"The service relates to customer payments made either electronically, by cheque or cash to HMRC.","1.Transaction and cost numbers have been collected using current year outturn data. Variations from baseline 2011 to 2012 costs have been driven by changing volumes, investment and efficiencies already in train. <br>2. Unit cost data has been constructed using paybill data, with a 23% uplift for overheads. HMRC's costing framework is in development, and changes are in train to improve the accuracy of estates and IT cost apportionment. <br>3. Assumptions have been made about the balance of cost for transactional and enforcement/ other activity where business units mix both. <br>4. Additional IT investment to facilitate digital may alter the cost balance, with additional depreciation charges increasing online cost.",,Business,Taxpayers
HM Revenue and Customs,HMRC,HM Revenue and Customs,HMRC,Pension Schemes transactions,375232,284075,,,,,338372,,,177471,,,182483,,,194868,,,194868,,,Providing information,,,,,Individuals,Taxpayers
HM Revenue and Customs,HMRC,HM Revenue and Customs,HMRC,Registered Dealers in Controlled Oils,,,,,,,,,,,,,35393,,,32998,,,32998,,,,,,,The data covers Registered Dealers in Controlled Oils approvals and returns which have been submitted through paper or online channels. Payment transactions are excluded.,,
